CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	26	2.2	7.439	1.559e-07	2.742e-07	4.941e-06	6.234e-09	9.151e-09	1.19900000086e-05	0.000319634	3.019327e-08	0.0278773148133	0	0.001391	0.0003463	0.002188	0	0	0.0001965
CONSENTRATIONS	27	2.2	7.473	1.338e-07	2.541e-07	4.455e-06	5.621e-09	8.251e-09	1.1990000008e-05	0.000319713	2.723181e-08	0.0278773137031	0	0.001391	0.0003463	0.002187	0	0	0.0001818
CONSENTRATIONS	28	2.2	7.505	1.151e-07	2.351e-07	4.021e-06	5.073e-09	7.446e-09	1.19900000074e-05	0.000319713	2.457027e-08	0.0278773127228	0	0.001391	0.0003463	0.002185	0	0	0.0001688
CONSENTRATIONS	29	2.2	7.536	9.912e-08	2.172e-07	3.631e-06	4.581e-09	6.724e-09	1.19900000069e-05	0.000319713	2.218865e-08	0.0278763118526	0	0.00139	0.0003463	0.002183	0	0	0.0001572
CONSENTRATIONS	30	2.1	7.565	8.556e-08	2.004e-07	3.281e-06	4.139e-09	6.076e-09	1.19900000064e-05	0.000319792	2.004696e-08	0.0278863110725	0	0.00139	0.0003463	0.002182	0	0	0.0001469
CONSENTRATIONS	31	2.1	7.593	7.4e-08	1.846e-07	2.966e-06	3.742e-09	5.493e-09	1.1990000006e-05	0.000319792	1.81252e-08	0.0278862103923	0	0.00139	0.0003462	0.00218	0	0	0.0001378
CONSENTRATIONS	32	2.1	7.619	6.415e-08	1.699e-07	2.683e-06	3.385e-09	4.969e-09	1.19900000057e-05	0.000319792	1.640338e-08	0.0278862097802	0	0.00139	0.0003462	0.002178	0	0	0.0001297
CONSENTRATIONS	33	2.1	7.643	5.574e-08	1.562e-07	2.429e-06	3.064e-09	4.497e-09	1.19900000054e-05	0.000319792	1.484151e-08	0.0278862092391	0	0.00139	0.0003462	0.002176	0	0	0.0001224
CONSENTRATIONS	34	2.1	7.667	4.855e-08	1.434e-07	2.199e-06	2.774e-09	4.072e-09	1.20000000051e-05	0.000319792	1.343961e-08	0.027886208758	0	0.00139	0.0003462	0.002175	0	0	0.000116
CONSENTRATIONS	35	2.1	7.688	4.239e-08	1.316e-07	1.992e-06	2.513e-09	3.688e-09	1.20000000048e-05	0.000319871	1.216768e-08	0.0278862083289	0	0.00139	0.0003462	0.002173	0	0	0.0001103
CONSENTRATIONS	36	2.1	7.709	3.71e-08	1.206e-07	1.805e-06	2.277e-09	3.342e-09	1.20000000046e-05	0.000319871	1.102575e-08	0.0278862079478	0	0.00139	0.0003462	0.002171	0	0	0.0001052
CONSENTRATIONS	37	2.1	7.728	3.255e-08	1.105e-07	1.636e-06	2.064e-09	3.029e-09	1.20000000044e-05	0.000319871	9.99582e-09	0.0278962076087	0	0.00139	0.0003462	0.00217	0	0	0.0001007
CONSENTRATIONS	38	2.1	7.745	2.863e-08	1.012e-07	1.483e-06	1.871e-09	2.746e-09	1.20000000042e-05	0.000319871	9.0619e-09	0.0278962073066	0	0.00139	0.0003462	0.002168	0	0	9.661e-05
CONSENTRATIONS	39	2.1	7.761	2.523e-08	9.256e-08	1.345e-06	1.697e-09	2.49e-09	1.20000000041e-05	0.000319871	8.21802e-09	0.0278962070366	0	0.00139	0.0003462	0.002166	0	0	9.3e-05
CONSENTRATIONS	40	2.1	7.776	2.229e-08	8.465e-08	1.22e-06	1.539e-09	2.259e-09	1.20000000039e-05	0.000319871	7.45418e-09	0.0278962067955	0	0.00139	0.0003462	0.002165	0	0	8.978e-05
